"publication_series","publication_date","release_time","synopsis","contact_details","frequency","reason_for_change","publication_id","theme_id","publication_day_released","datestr","epoch"
"Scottish Landfill Tax Statistics, Q1 2023-24","2023-09-08","09:30","Scottish Landfill Tax (SLfT) declared due and tonnages by quarter.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Quarterly","Finalised data",3005,8010,True,"2023-09-08",1694131200000
"Scottish Diligence Statistics, Scottish Diligence Statistics 2022-23","2023-09-13","09:30","Annual statistics on diligence processes based on information submitted by officers of court for the 2022-23 financial year. Also includes statistics on the use of inhibition supplied by Registers of Scotland.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Annual","Finalising exact publication date",3005,8010,True,"2023-09-13",1694563200000
"Land and Buildings Transaction Tax Statistics, Aug 2023","2023-09-14","09:30","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","finalised date",3005,8010,True,"2023-09-14",1694649600000
"Scottish Statutory Debt Solutions Statistics, July to September 2023 (2023-24 Quarter 2)","2023-10-25","09:30","Latest quarterly statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Quarterly","Not applicable",3005,8010,True,"2023-10-25",1698192000000
"Land and Buildings Transaction Tax Statistics, Sep 2023","2023-10-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2023-10-01",1696118400000
"Land and Buildings Transaction Tax Statistics, Oct 2023","2023-11-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2023-11-01",1698796800000
"Revenue Scotland Statistics - Annual Summary of Trends in the Devolved Taxes, 2022-23","2023-11-00","","Annual summary of Scotland's devolved taxes administered by Revenue Scotland (Land and Buildings Transaction Tax and Scottish Landfill Tax).","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Annual","Not applicable",3005,8010,False,"2023-11-01",1698796800000
"Land and Buildings Transaction Tax Statistics, Nov 2023","2023-12-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2023-12-01",1701388800000
"Scottish Landfill Tax Statistics, Q2 2023-24","2023-12-00","","Scottish Landfill Tax (SLfT) declared due and tonnages by quarter.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Quarterly","Not applicable",3005,8010,False,"2023-12-01",1701388800000
"Scottish Statutory Debt Solutions Statistics, October to December 2023 (2023-24 Quarter 3)","2024-01-24","09:30","Latest quarterly statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Quarterly","Not applicable",3005,8010,True,"2024-01-24",1706054400000
"Land and Buildings Transaction Tax Statistics, Dec 2023","2024-01-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-01-01",1704067200000
"Land and Buildings Transaction Tax Statistics, Jan 2024","2024-02-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-02-01",1706745600000
"Land and Buildings Transaction Tax Statistics, Feb 2024","2024-03-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-03-01",1709251200000
"Scottish Landfill Tax Statistics, Q3 2023-24","2024-03-00","","Scottish Landfill Tax (SLfT) declared due and tonnages by quarter.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Quarterly","Not applicable",3005,8010,False,"2024-03-01",1709251200000
"Scottish Statutory Debt Solutions Statistics, January to March 2024 (2023-24 Quarter 4)","2024-04-24","09:30","Latest quarterly statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Quarterly","Not applicable",3005,8010,True,"2024-04-24",1713916800000
"Land and Buildings Transaction Tax Statistics, March 2024","2024-04-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-04-01",1711929600000
"Land and Buildings Transaction Tax Statistics, Apr 2024","2024-05-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-05-01",1714521600000
"Land and Buildings Transaction Tax Statistics, May 2024","2024-06-00","","Land and Buildings Transaction Tax (LBTT) revenues by month of submission, type of transaction (conveyance/lease), type of property (residential/non-residential) and total consideration.LBTT revenues excluding Additional Dwelling Supplement (ADS) and ADS revenue and repayments are provided, where appropriate.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Monthly","Not applicable",3005,8010,False,"2024-06-01",1717200000000
"Scottish Landfill Tax Statistics, Q4 2023-24","2024-06-00","","Scottish Landfill Tax (SLfT) declared due and tonnages by quarter.","Andrew Morgan
tel. 0131 244 3599
e-mail: andrew.morgan@revenue.scot","Quarterly","Not applicable",3005,8010,False,"2024-06-01",1717200000000
"Scottish Statutory Debt Solutions Statistics, April to June 2024 (2024-25 Quarter 1)","2024-07-24","09:30","Latest quarterly statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Quarterly","Not applicable",3005,8010,True,"2024-07-24",1721779200000
"Scottish Statutory Debt Solutions Statistics, July to September 2024 (2024-25 Quarter 2)","2024-10-23","09:30","Latest quarterly statistics on statutory debt solutions including bankruptcy, protected trust deed, and the Debt Arrangement Scheme. Also includes statutory moratoriums on diligence.","Catherine McAuley
tel. 0300 200 2666
e-mail: catherine.mcauley@aib.gov.uk","Quarterly","Not applicable",3005,8010,True,"2024-10-23",1729641600000
"Homelessness Statistics, Homelessness in Scotland: update to 30 September 2023","2024-01-00","","This statistics bulletin provides information on homelessness in Scotland in the period from 1 April 2023 to 30 Sep 2023, alongside historical data.","Sara White
tel. 0131 244 8502
e-mail: sara.white@gov.scot","Annual","Not applicable",3000,8014,False,"2024-01-01",1704067200000
"Scottish House Conditions Survey: Key Findings, 2022","2024-01-00","","An annual report on the key findings from the Scottish House Condition Survey (SHCS), including estimates of key statistics on fuel poverty, energy efficiency and external repairs.","Darren Knox
tel. 01312444721
e-mail: shcs@gov.scot","Annual","Not applicable",3000,8014,False,"2024-01-01",1704067200000
"Homelessness Statistics, Homelessness in Scotland 2023/24","2024-08-00","","This statistics bulletin provides information on homelessness in Scotland in the period from 1 April 2023 to 31 March 2024, alongside historical data.","Sara White
tel. 0131 244 8502
e-mail: sara.white@gov.scot","Annual","Not applicable",3000,8014,False,"2024-08-01",1722470400000
"Housing Options (PREVENT1), Housing Options (PREVENT1): 2022/23","2023-10-00","","This bulletin is based on information provided by local authorities to the Scottish Government on the operation of Housing Options services that are made available when households seek assistance for housing-related issues, and which can be used by local authorities as a means of delivering statutory duties around the provision of advice and information for the prevention of homelessness.","Sam Filippi
tel. 07484304829
e-mail: sam.filippi@gov.scot","Annual","Not applicable",3002,8014,False,"2023-10-01",1696118400000
"Housing Statistics for Scotland quarterly update, Housing Statistics for Scotland Quarterly Update - September 2023","2023-09-12","09:30","Routine update of quarterly new house building statistics and affordable housing supply.","Iain Scherr
tel. 0131 244 7229
e-mail: iain.scherr@gov.scot","Quarterly","Final Date",3005,8014,True,"2023-09-12",1694476800000
"UK House Price Index Scotland, UK House Price Index Scotland: July 2023","2023-09-20","09:30","The House Price Index Scotland is part of the UK HPI, which is a joint production by Land Registry, Land and Property Services Northern Ireland, Office for National Statistics and Registers of Scotland. The UK HPI provides users with headline prices for UK, country and regional data, along with sub-regional data (to local authority level) for England, Scotland, Wales and Northern Ireland. It is based on a comprehensive set of data sources covering both cash and mortgage sales and allows for a range of detailed analysis of the components of house price trends, for example price increases by components such as cash v. mortgage sales, first-time buyers v. previous owner-occupiers, and new-build v. existing property. Further information about the HPI methodology is available at the following link: https://www.gov.uk/government/publications/about-the-uk-house-price-index/about-the-uk-house-price-index#calculating-the-uk-hpi","Rachael Fairley
tel. 07919570915
e-mail: rachael.fairley@ros.gov.uk","Monthly","Not applicable",3005,8014,True,"2023-09-20",1695168000000
